Categoria: Todas as categorias
TOP
Clima,100
Jogo,90
Brasil,68
WhatsApp,63
Vídeo,54
Google,52
Mulher,51
2026,50
Google,48
YouTube,47
Dia,46
Ano,46
Flamengo,45
Filme,44
2025,44
Tempo,43
ChatGPT,41
São Paulo,41
World Wide Web,40
Previsão,35
Site,35
Previsão do tempo,33
Fotografia,33
Música,32

RISING
Empresa,Aumento repentino
2026,Mais 3.850%
GOV,Mais 1.700%
Copa do Mundo da FIFA 2026™,Mais 1.050%
YouTube,Mais 750%
Google Gemini,Mais 450%
Copa do Mundo,Mais 400%
Seleção Egípcia de Futebol,Mais 400%
Paris Saint-Germain Football Club,Mais 180%
Corpus Christi,Mais 140%
Transformador pré-treinado generativo,Mais 110%
Álbum,Mais 90%
ChatGPT,Mais 80%
Inteligência artificial,Mais 70%
Site,Mais 70%
Chat,Mais 60%
Cartão de crédito,Mais 60%
Santos Futebol Clube,Mais 40%
Locação,Mais 40%

