"Tendências","Volume de pesquisa","Iniciado","Finalizada","Detalhamento da tendência","Acesse a página ""Explorar"""
"marrocos x noruega","200 mil+","7 de junho de 2026 às 11:40:00 UTC-3",,"marrocos x noruega,marrocos,marrocos x,noruega,marrocos e noruega,noruega seleção,marrocos x noruega onde assistir,jogo do marrocos,marrocos seleção,marrocos jogo,onde assistir marrocos e noruega,jogo marrocos,marrocos noruega","./explore?q=marrocos%20x%20noruega&geo=BR"
"eriksen","100 mil+","7 de junho de 2026 às 14:50:00 UTC-3",,"eriksen,christian eriksen,dinamarca,dinamarca fc,eriksen jogador,dinamarca e ucrânia,jogo da dinamarca,eriksen desmaia,dinamarca seleção,dinamarca e ucrania,jogo dinamarca,eriksen dinamarca","./explore?q=eriksen&geo=BR"
"ederson atalanta","200 mil+","7 de junho de 2026 às 13:00:00 UTC-3",,"ederson atalanta,ederson,copa do mundo,futebol,wesley cortado da seleção,éderson,wesley fora da copa,ederson volante,ederson convocado,wesley cortado,wesley jogador,ederson lateral,volante ederson,éderson atalanta,ederson convocado para seleção brasileira,ederson seleção brasileira,ederson do atalanta,pre lista seleção brasileira,atalanta,jogador ederson,wesley roma,ederson jogador,cbf,ederson meio campo,lateral ederson,quem é ederson da seleção brasileira,ederson lateral direito,wesley machucou,ederson da atalanta,volante éderson,quem foi convocado no lugar do wesley","./explore?q=ederson%20atalanta&geo=BR"
"igor cosso","20 mil+","7 de junho de 2026 às 14:50:00 UTC-3",,"igor cosso","./explore?q=igor%20cosso&geo=BR"
"o globo","10 mil+","8 de junho de 2026 às 07:10:00 UTC-3",,"o globo","./explore?q=o%20globo&geo=BR"
"filipinas","10 mil+","7 de junho de 2026 às 22:00:00 UTC-3",,"filipinas","./explore?q=filipinas&geo=BR"
"colômbia x jordânia","50 mil+","7 de junho de 2026 às 19:00:00 UTC-3",,"colômbia x jordânia,colombia x,colombia x jordania,colômbia,jordania,colombia - jordania","./explore?q=col%C3%B4mbia%20x%20jord%C3%A2nia&geo=BR"
"luiz fux","20 mil+","7 de junho de 2026 às 14:50:00 UTC-3",,"luiz fux","./explore?q=luiz%20fux&geo=BR"
"pis/pasep","20 mil+","7 de junho de 2026 às 15:50:00 UTC-3",,"pis/pasep","./explore?q=pis%2Fpasep&geo=BR"
"notícia","10 mil+","7 de junho de 2026 às 15:10:00 UTC-3",,"notícia","./explore?q=not%C3%ADcia&geo=BR"
"alexandre de moraes","5 mil+","8 de junho de 2026 às 06:00:00 UTC-3",,"alexandre de moraes","./explore?q=alexandre%20de%20moraes&geo=BR"
"deolane bezerra","5 mil+","7 de junho de 2026 às 23:10:00 UTC-3",,"deolane bezerra","./explore?q=deolane%20bezerra&geo=BR"
"banco master","2 mil+","8 de junho de 2026 às 08:30:00 UTC-3",,"banco master","./explore?q=banco%20master&geo=BR"
"abertura da copa","5 mil+","8 de junho de 2026 às 07:00:00 UTC-3",,"abertura da copa,abertura da copa do mundo 2026,abertura copa do mundo 2026","./explore?q=abertura%20da%20copa&geo=BR"
"desenrola fies","2 mil+","8 de junho de 2026 às 08:10:00 UTC-3",,"desenrola fies","./explore?q=desenrola%20fies&geo=BR"
"motorista","5 mil+","7 de junho de 2026 às 19:10:00 UTC-3",,"motorista","./explore?q=motorista&geo=BR"
"copa do mundo 2026","5 mil+","8 de junho de 2026 às 08:00:00 UTC-3",,"copa do mundo 2026","./explore?q=copa%20do%20mundo%202026&geo=BR"
"folha de s.paulo","2 mil+","8 de junho de 2026 às 03:50:00 UTC-3",,"folha de s.paulo","./explore?q=folha%20de%20s.paulo&geo=BR"
"crb x são bernardo","50 mil+","7 de junho de 2026 às 15:00:00 UTC-3","8 de junho de 2026 às 08:30:00 UTC-3","crb x são bernardo,crb","./explore?q=crb%20x%20s%C3%A3o%20bernardo&geo=BR"
"杭州天气","2 mil+","8 de junho de 2026 às 05:30:00 UTC-3",,"杭州天气","./explore?q=%E6%9D%AD%E5%B7%9E%E5%A4%A9%E6%B0%94&geo=BR"
"reforma da previdência","2 mil+","8 de junho de 2026 às 05:10:00 UTC-3",,"reforma da previdência","./explore?q=reforma%20da%20previd%C3%AAncia&geo=BR"
"croácia x eslovênia","50 mil+","7 de junho de 2026 às 14:50:00 UTC-3","8 de junho de 2026 às 08:00:00 UTC-3","croácia x eslovênia,croacia x,croácia,croácia x,croacia x eslovenia","./explore?q=cro%C3%A1cia%20x%20eslov%C3%AAnia&geo=BR"
"lei","1 mil+","8 de junho de 2026 às 06:00:00 UTC-3",,"lei","./explore?q=lei&geo=BR"
"flávio bolsonaro","10 mil+","8 de junho de 2026 às 05:00:00 UTC-3","8 de junho de 2026 às 08:10:00 UTC-3","flávio bolsonaro","./explore?q=fl%C3%A1vio%20bolsonaro&geo=BR"
"frente fria","5 mil+","8 de junho de 2026 às 05:20:00 UTC-3","8 de junho de 2026 às 08:50:00 UTC-3","frente fria,previsão do tempo porto alegre,ciclone,tempo porto alegre","./explore?q=frente%20fria&geo=BR"
"grécia x itália","20 mil+","7 de junho de 2026 às 15:10:00 UTC-3","8 de junho de 2026 às 07:40:00 UTC-3","grécia x itália,italia x,grecia x italia","./explore?q=gr%C3%A9cia%20x%20it%C3%A1lia&geo=BR"
"kimi antonelli","20 mil+","7 de junho de 2026 às 09:30:00 UTC-3","8 de junho de 2026 às 08:40:00 UTC-3","kimi antonelli,fórmula,antonelli,monaco gp,f1 classificação,f1 ao vivo,bortoleto,antonelli f1,classificação f1,fórmula 1 classificação,f1 tv,formula 1 ao vivo,classificacao f1,formula 1 onde assistir,f1 onde assistir","./explore?q=kimi%20antonelli&geo=BR"
"veículo","5 mil+","8 de junho de 2026 às 05:00:00 UTC-3","8 de junho de 2026 às 08:30:00 UTC-3","veículo","./explore?q=ve%C3%ADculo&geo=BR"
"paysandu","50 mil+","7 de junho de 2026 às 18:40:00 UTC-3","7 de junho de 2026 às 21:40:00 UTC-3","paysandu,copa verde,jogo do paysandu,paysandu hoje,paysandu x,jogo do paysandu hoje,quanto tá o jogo do paysandu,paysandu sport club,jogo do paysandu hoje ao vivo,jogo paysandu,jogo paysandu hoje,quanto foi o jogo do paysandu","./explore?q=paysandu&geo=BR"
"keiko fujimori","5 mil+","7 de junho de 2026 às 20:30:00 UTC-3","8 de junho de 2026 às 08:40:00 UTC-3","keiko fujimori,peru,eleições peru,eleicoes peru","./explore?q=keiko%20fujimori&geo=BR"
"zverev","50 mil+","7 de junho de 2026 às 10:10:00 UTC-3","7 de junho de 2026 às 17:00:00 UTC-3","zverev,alexander zverev,flavio cobolli","./explore?q=zverev&geo=BR"
"avião","2 mil+","8 de junho de 2026 às 04:40:00 UTC-3","8 de junho de 2026 às 08:50:00 UTC-3","avião","./explore?q=avi%C3%A3o&geo=BR"
"pesquisa","20 mil+","7 de junho de 2026 às 15:10:00 UTC-3","7 de junho de 2026 às 20:10:00 UTC-3","pesquisa","./explore?q=pesquisa&geo=BR"
"série d","2 mil+","8 de junho de 2026 às 04:50:00 UTC-3","8 de junho de 2026 às 09:00:00 UTC-3","série d","./explore?q=s%C3%A9rie%20d&geo=BR"
"equador x guatemala","20 mil+","7 de junho de 2026 às 16:10:00 UTC-3","7 de junho de 2026 às 22:30:00 UTC-3","equador x guatemala,equador,equador x,equador seleção,equador x guatemala onde assistir","./explore?q=equador%20x%20guatemala&geo=BR"
"chapecoense x avai","50 mil+","7 de junho de 2026 às 10:30:00 UTC-3","7 de junho de 2026 às 17:40:00 UTC-3","chapecoense x avai,chapecoense,copa sul sudeste,avai,chapecoense x,chapecoense x avaí,avai x chapecoense,chapecoense x avaí ao vivo hoje,chapecoense e avaí,chapecoense hoje","./explore?q=chapecoense%20x%20avai&geo=BR"
"adoção","1 mil+","8 de junho de 2026 às 05:50:00 UTC-3","8 de junho de 2026 às 08:50:00 UTC-3","adoção","./explore?q=ado%C3%A7%C3%A3o&geo=BR"
"yadier molina","1 mil+","8 de junho de 2026 às 06:50:00 UTC-3","8 de junho de 2026 às 09:00:00 UTC-3","yadier molina","./explore?q=yadier%20molina&geo=BR"
"brasil x italia volei feminino","20 mil+","7 de junho de 2026 às 10:50:00 UTC-3","7 de junho de 2026 às 19:00:00 UTC-3","brasil x italia volei feminino,julia kudiess,brasil e italia volei,julia bergmann,italia seleção,brasil x italia,brasil volei,liga das nações de voleibol feminino,vnl feminina,brasil e italia volei feminino,nyeme","./explore?q=brasil%20x%20italia%20volei%20feminino&geo=BR"
"sofá","5 mil+","7 de junho de 2026 às 15:10:00 UTC-3","8 de junho de 2026 às 08:00:00 UTC-3","sofá","./explore?q=sof%C3%A1&geo=BR"
"colombia","10 mil+","7 de junho de 2026 às 19:30:00 UTC-3","7 de junho de 2026 às 23:30:00 UTC-3","colombia","./explore?q=colombia&geo=BR"
"7 a 0","5 mil+","7 de junho de 2026 às 19:50:00 UTC-3","8 de junho de 2026 às 03:50:00 UTC-3","7 a 0,7 a 0 jogo,7a0","./explore?q=7%20a%200&geo=BR"
"streaming","1 mil+","8 de junho de 2026 às 05:30:00 UTC-3","8 de junho de 2026 às 08:40:00 UTC-3","streaming","./explore?q=streaming&geo=BR"
"dinamarca x ucrania","10 mil+","7 de junho de 2026 às 13:20:00 UTC-3","7 de junho de 2026 às 19:00:00 UTC-3","dinamarca x ucrania","./explore?q=dinamarca%20x%20ucrania&geo=BR"
"clima em são paulo","2 mil+","8 de junho de 2026 às 04:50:00 UTC-3","8 de junho de 2026 às 07:40:00 UTC-3","clima em são paulo","./explore?q=clima%20em%20s%C3%A3o%20paulo&geo=BR"
"ronaldo fenomeno","10 mil+","7 de junho de 2026 às 18:40:00 UTC-3","7 de junho de 2026 às 21:30:00 UTC-3","ronaldo fenomeno,ronaldo nazário,ronaldo fenômeno,filhos do ronaldo fenômeno,filhos ronaldo fenomeno","./explore?q=ronaldo%20fenomeno&geo=BR"
"defensor x boston river","5 mil+","7 de junho de 2026 às 17:50:00 UTC-3","7 de junho de 2026 às 22:10:00 UTC-3","defensor x boston river","./explore?q=defensor%20x%20boston%20river&geo=BR"
"cerro x peñarol","10 mil+","7 de junho de 2026 às 14:10:00 UTC-3","7 de junho de 2026 às 18:20:00 UTC-3","cerro x peñarol","./explore?q=cerro%20x%20pe%C3%B1arol&geo=BR"
"el niño","1 mil+","8 de junho de 2026 às 05:30:00 UTC-3","8 de junho de 2026 às 07:30:00 UTC-3","el niño","./explore?q=el%20ni%C3%B1o&geo=BR"
"cobolli","10 mil+","7 de junho de 2026 às 10:20:00 UTC-3","7 de junho de 2026 às 16:00:00 UTC-3","cobolli,zverev x cobolli","./explore?q=cobolli&geo=BR"
"antropova","10 mil+","7 de junho de 2026 às 14:20:00 UTC-3","7 de junho de 2026 às 18:10:00 UTC-3","antropova","./explore?q=antropova&geo=BR"
"franca x pinheiros","10 mil+","7 de junho de 2026 às 16:40:00 UTC-3","7 de junho de 2026 às 20:40:00 UTC-3","franca x pinheiros,nbb,franca basquete","./explore?q=franca%20x%20pinheiros&geo=BR"
"quadrilha","5 mil+","7 de junho de 2026 às 15:30:00 UTC-3","7 de junho de 2026 às 21:10:00 UTC-3","quadrilha","./explore?q=quadrilha&geo=BR"
"mc livinho","500+","8 de junho de 2026 às 06:00:00 UTC-3","8 de junho de 2026 às 08:00:00 UTC-3","mc livinho","./explore?q=mc%20livinho&geo=BR"
"mestres do universo","500+","8 de junho de 2026 às 06:40:00 UTC-3","8 de junho de 2026 às 08:10:00 UTC-3","mestres do universo","./explore?q=mestres%20do%20universo&geo=BR"
"cena pós-créditos","200+","8 de junho de 2026 às 07:20:00 UTC-3","8 de junho de 2026 às 08:30:00 UTC-3","cena pós-créditos","./explore?q=cena%20p%C3%B3s-cr%C3%A9ditos&geo=BR"
"campinas","5 mil+","7 de junho de 2026 às 15:10:00 UTC-3","7 de junho de 2026 às 20:20:00 UTC-3","campinas","./explore?q=campinas&geo=BR"
"persona 6","5 mil+","7 de junho de 2026 às 14:50:00 UTC-3","7 de junho de 2026 às 19:30:00 UTC-3","persona 6,persona 4 revival","./explore?q=persona%206&geo=BR"
"washington quaquá","2 mil+","7 de junho de 2026 às 15:50:00 UTC-3","7 de junho de 2026 às 21:00:00 UTC-3","washington quaquá","./explore?q=washington%20quaqu%C3%A1&geo=BR"
"multa","500+","8 de junho de 2026 às 06:20:00 UTC-3","8 de junho de 2026 às 07:40:00 UTC-3","multa","./explore?q=multa&geo=BR"
"sessão da tarde","2 mil+","7 de junho de 2026 às 17:30:00 UTC-3","8 de junho de 2026 às 07:50:00 UTC-3","sessão da tarde","./explore?q=sess%C3%A3o%20da%20tarde&geo=BR"
"graus","2 mil+","8 de junho de 2026 às 06:00:00 UTC-3","8 de junho de 2026 às 07:20:00 UTC-3","graus,recorde","./explore?q=graus&geo=BR"
"lewis hamilton","5 mil+","7 de junho de 2026 às 09:50:00 UTC-3","7 de junho de 2026 às 14:00:00 UTC-3","lewis hamilton","./explore?q=lewis%20hamilton&geo=BR"
"andrea kimi antonelli","5 mil+","7 de junho de 2026 às 10:20:00 UTC-3","7 de junho de 2026 às 13:30:00 UTC-3","andrea kimi antonelli,hamilton,monaco f1,toto wolff","./explore?q=andrea%20kimi%20antonelli&geo=BR"
"andré mendonça","5 mil+","7 de junho de 2026 às 09:30:00 UTC-3","7 de junho de 2026 às 18:30:00 UTC-3","andré mendonça","./explore?q=andr%C3%A9%20mendon%C3%A7a&geo=BR"
"temperatura goiania","200+","8 de junho de 2026 às 05:20:00 UTC-3","8 de junho de 2026 às 07:20:00 UTC-3","temperatura goiania","./explore?q=temperatura%20goiania&geo=BR"
"ronaldo","2 mil+","7 de junho de 2026 às 18:50:00 UTC-3","7 de junho de 2026 às 21:10:00 UTC-3","ronaldo","./explore?q=ronaldo&geo=BR"
"xbox","5 mil+","7 de junho de 2026 às 15:30:00 UTC-3","7 de junho de 2026 às 18:50:00 UTC-3","xbox,xbox showcase","./explore?q=xbox&geo=BR"
"croacia","2 mil+","7 de junho de 2026 às 15:40:00 UTC-3","7 de junho de 2026 às 18:50:00 UTC-3","croacia","./explore?q=croacia&geo=BR"
"sampaio corrêa x iguatu","2 mil+","7 de junho de 2026 às 15:10:00 UTC-3","7 de junho de 2026 às 18:50:00 UTC-3","sampaio corrêa x iguatu","./explore?q=sampaio%20corr%C3%AAa%20x%20iguatu&geo=BR"
"max verstappen","5 mil+","7 de junho de 2026 às 10:00:00 UTC-3","7 de junho de 2026 às 13:30:00 UTC-3","max verstappen,verstappen","./explore?q=max%20verstappen&geo=BR"
"italia","2 mil+","7 de junho de 2026 às 16:20:00 UTC-3","7 de junho de 2026 às 19:10:00 UTC-3","italia","./explore?q=italia&geo=BR"
"temperatura belo horizonte","200+","8 de junho de 2026 às 06:00:00 UTC-3","8 de junho de 2026 às 07:20:00 UTC-3","temperatura belo horizonte","./explore?q=temperatura%20belo%20horizonte&geo=BR"
"gama x aparecidense","2 mil+","7 de junho de 2026 às 16:50:00 UTC-3","7 de junho de 2026 às 20:00:00 UTC-3","gama x aparecidense","./explore?q=gama%20x%20aparecidense&geo=BR"
"clima em rio de janeiro","200+","8 de junho de 2026 às 05:50:00 UTC-3","8 de junho de 2026 às 07:10:00 UTC-3","clima em rio de janeiro","./explore?q=clima%20em%20rio%20de%20janeiro&geo=BR"
"atropelamento","2 mil+","7 de junho de 2026 às 17:00:00 UTC-3","7 de junho de 2026 às 19:10:00 UTC-3","atropelamento","./explore?q=atropelamento&geo=BR"
"brahim diaz","2 mil+","7 de junho de 2026 às 16:00:00 UTC-3","7 de junho de 2026 às 18:30:00 UTC-3","brahim diaz","./explore?q=brahim%20diaz&geo=BR"
"croatia","2 mil+","7 de junho de 2026 às 16:00:00 UTC-3","7 de junho de 2026 às 18:40:00 UTC-3","croatia","./explore?q=croatia&geo=BR"
"edital","2 mil+","7 de junho de 2026 às 15:00:00 UTC-3","7 de junho de 2026 às 17:30:00 UTC-3","edital","./explore?q=edital&geo=BR"
"egonu","2 mil+","7 de junho de 2026 às 14:30:00 UTC-3","7 de junho de 2026 às 17:00:00 UTC-3","egonu","./explore?q=egonu&geo=BR"
